I,1,Cog,3.75,14,4,40,12
O,88,6zd8VGvLXd6WCm5SN9j2J5qWtgV7YvrJ7g9LxFJi7idDCDLJjJwMJiu7BMaebSTTXfqjTjLvviGgrz0rAtBe60bGveL74W1L5fQhSXY3iweJCXSL7g7Gq8N2DGh8MYi3PXAqgYFfeYUZfSmZtgVWArifuzxTDVQXnn3NZt2DQ5BqcrYxM5yTFSAEBtevd18DvHcQxe5SrKLTnBp01UuCPPatGnXJcbfgg3X0Zm8wY1YU9Thm6W1XAPFYrkjGDc,5.5,10,5,20,CompanyA
O,89,Part1,10.0,10,5,20,CompanyA
O,90,Part2,10.0,10,5,20,CompanyA
O,91,Part3,10.0,10,5,20,CompanyA
O,92,OutsourcedPart,15.6,10,5,20,CompanyA
O,93,96zd8VGvLXd6WCm5SN9j2J5qWtgV7YvrJ7g9LxFJi7idDCDLJjJwMJiu7BMaebSTTXfqjTjLvviGgrz0rAtBe60bGveL74W1L5fQhSXY3iweJCXSL7g7Gq8N2DGh8MYi3PXAqgYFfeYUZfSmZtgVWArifuzxTDVQXnn3NZt2DQ5BqcrYxM5yTFSAEBtevd18DvHcQxe5SrKLTnBp01UuCPPatGnXJcbfgg3X0Zm8wY1YU9Thm6W1XAPFYrkjGDc,5.5,10,5,20,CompanyA
O,94,6zd8VGvLXd6WCm5SN9j2J5qWtgV7YvrJ7g9LxFJi7idDCDLJjJwMJiu7BMaebSTTXfqjTjLvviGgrz0rAtBe60bGveL74W1L5fQhSXY3iweJCXSL7g7Gq8N2DGh8MYi3PXAqgYFfeYUZfSmZtgVWArifuzxTDVQXnn3NZt2DQ5BqcrYxM5yTFSAEBtevd18DvHcQxe5SrKLTnBp01UuCPPatGnXJcbfgg3X0Zm8wY1YU9Thm6W1XAPFYrkjGDc,5.5,10,5,20,CompanyA
O,95,Part1,10.0,10,5,20,CompanyA
O,96,Part2,10.0,10,5,20,CompanyA
O,97,Part3,10.0,10,5,20,CompanyA
O,98,OutsourcedPart,15.6,10,5,20,CompanyA
